invoice_total,invoice_totalTip,invoice_address_city,invoice_deleted_at,date,customerCategory_id,tableArea_id,address.company,address.city,item_product_discountable,item_product_pricePerUnit,product,sales,item_retour,item_expirationDate,item_price,item_lineDiscountGross,item_invoiceDiscountGross,item_discountable,paymentMethod_id_x,productgroup_name,user_name,table_name,index,store
10.5,0,,,2021-10-23,,cat_177144,,,True,8.0,Dinnerle,1,False,,8.0,,,True,cat_495297,Essen,felix,Checkout,449699764,1
10.5,0,,,2021-10-23,,cat_177144,,,True,2.5,"Kuchen 2,50€",1,False,,2.5,,,True,cat_495297,Essen,felix,Checkout,449699773,1
10.6,0,,,2021-10-23,,cat_177144,,,True,2.8,Kaffee Creme,2,False,,2.8,,,True,cat_495297,Warme Getränke,felix,Checkout,449685129,1
10.6,0,,,2021-10-23,,cat_177144,,,True,2.5,"Kuchen 2,50€",2,False,,2.5,,,True,cat_495297,Essen,felix,Checkout,449685130,1
2.5,0,,,2021-10-23,,cat_177144,,,True,2.5,"Kuchen 2,50€",1,False,,2.5,,,True,cat_495297,Essen,felix,Checkout,449681586,1
2.8,0,,,2021-10-23,,cat_177144,,,True,2.8,Cappuccino,1,False,,2.8,,,True,cat_495297,Warme Getränke,felix,Checkout,449659356,1
8.3,0,,,2021-10-23,,cat_177144,,,True,2.8,Kaffee Creme,1,False,,2.8,,,True,cat_495297,Warme Getränke,felix,Checkout,449614110,1
8.3,0,,,2021-10-23,,cat_177144,,,True,3.0,Limonade,1,False,,3.0,,,True,cat_495297,Non-Alk Getränke,felix,Checkout,449614115,1
8.3,0,,,2021-10-23,,cat_177144,,,True,2.5,"Kuchen 2,50€",1,False,,2.5,,,True,cat_495297,Essen,felix,Checkout,449614117,1
2.0,0,,,2021-10-23,,cat_177144,,,True,2.0,Tee,1,False,,2.0,,,True,cat_495297,Warme Getränke,felix,Checkout,449562283,1
5.6,0,,,2021-10-23,,cat_177144,,,True,2.8,Kaffee Creme,1,False,,2.8,,,True,cat_495297,Warme Getränke,felix,Checkout,449543081,1
5.6,0,,,2021-10-23,,cat_177144,,,True,2.8,Cappuccino,1,False,,2.8,,,True,cat_495297,Warme Getränke,felix,Checkout,449543082,1
4.8,0,,,2021-10-23,,cat_177144,,,True,2.0,Tee,1,False,,2.0,,,True,cat_495297,Warme Getränke,felix,Checkout,449507004,1
4.8,0,,,2021-10-23,,cat_177144,,,True,2.8,Cappuccino,1,False,,2.8,,,True,cat_495297,Warme Getränke,felix,Checkout,449507006,1
2.8,0,,,2021-10-23,,cat_177144,,,True,2.8,Cappuccino,1,False,,2.8,,,True,cat_495300,Warme Getränke,felix,Checkout,449499590,1
5.8,0,,,2021-10-23,,cat_177144,,,True,2.8,Cappuccino,1,False,,2.8,,,True,cat_495297,Warme Getränke,felix,Checkout,449497521,1
5.8,0,,,2021-10-23,,cat_177144,,,True,3.0,Limonade,1,False,,3.0,,,True,cat_495297,Non-Alk Getränke,felix,Checkout,449497523,1
22.0,0,,,2021-10-22,,cat_177144,,,True,3.0,Limonade,2,False,,3.0,,,True,cat_495297,Non-Alk Getränke,felix,Checkout,449081356,1
22.0,0,,,2021-10-22,,cat_177144,,,True,8.0,Dinnerle,2,False,,8.0,,,True,cat_495297,Essen,felix,Checkout,449081357,1
10.5,0,,,2021-10-22,,cat_177144,,,True,2.5,"Kuchen 2,50€",1,False,,2.5,,,True,cat_495297,Essen,felix,Checkout,449080332,1
10.5,0,,,2021-10-22,,cat_177144,,,True,8.0,Dinnerle,1,False,,8.0,,,True,cat_495297,Essen,felix,Checkout,449080333,1
10.8,0,,,2021-10-22,,cat_177144,,,True,2.8,Kaffee Creme,1,False,,2.8,,,True,cat_495297,Warme Getränke,felix,Checkout,449015937,1
10.8,0,,,2021-10-22,,cat_177144,,,True,2.5,"Kuchen 2,50€",2,False,,2.5,,,True,cat_495297,Essen,felix,Checkout,449015938,1
10.8,0,,,2021-10-22,,cat_177144,,,True,3.0,Limonade,1,False,,3.0,,,True,cat_495297,Non-Alk Getränke,felix,Checkout,449015939,1
